product_id,sku,product_name,category,subcategory,brand,uom,unit_cost,unit_price,weight_kg,is_discontinued,created_date
1,sku-tf-00001,transmission filter m - brandb series-1,transmission_filter,transmission_m,brandb,ea,27.45,49.41,1.36,false,2025-11-28 00:00:00
2,sku-tf-00002,transmission filter m - brande pro,transmission_filter,transmission_m,brande,ea,12.62,22.72,1.11,false,2022-01-22 00:00:00
3,sku-ef-00003,engine filter s - brandc series-2,engine_filter,engine_s,brandc,ea,17.45,20.94,1.31,false,2025-11-09 00:00:00
4,sku-ef-00004,engine filter xl - brandg series-1,engine_filter,engine_xl,brandg,ea,18.7,22.44,1.11,false,2024-10-07 00:00:00
5,sku-ef-00005,engine filter s - brandg series-2,engine_filter,engine_s,brandg,ea,10.33,13.95,0.67,false,2023-01-18 00:00:00
6,sku-cf-00006,cabin filter s - brandc series-3,cabin_filter,cabin_s,brandc,ea,8.86,15.95,1.05,false,2025-07-01 00:00:00
7,sku-ff-00007,fuel filter xl - brandc max,fuel_filter,fuel_xl,brandc,ea,9.59,21.1,1.72,false,2024-02-17 00:00:00
8,sku-of-00008,oil filter l - brandd series-3,oil_filter,oil_l,brandd,ea,10.36,12.43,0.8,false,2025-08-03 00:00:00
9,sku-ef-00009,engine filter xl - brandb series-1,engine_filter,engine_xl,brandb,ea,14.03,30.87,1.26,false,2023-05-18 00:00:00
10,sku-ef-00010,engine filter m - brandb pro,engine_filter,engine_m,brandb,box,13.75,18.56,1.05,false,2023-09-11 00:00:00
11,sku-af-00011,air filter s - brandc series-2,air_filter,air_s,brandc,ea,5.57,6.68,0.71,false,2023-06-10 00:00:00
12,sku-ef-00012,engine filter l - brandh max,engine_filter,engine_l,brandh,ea,18.39,27.59,1.69,false,2025-01-28 00:00:00
13,sku-of-00013,oil filter l - brandd pro,oil_filter,oil_l,brandd,ea,8.93,10.72,0.24,false,2024-01-31 00:00:00
14,sku-tf-00014,transmission filter xl - brandb max,transmission_filter,transmission_xl,brandb,ea,14.43,19.48,1.37,false,2024-05-03 00:00:00
15,sku-of-00015,oil filter s - brandc series-3,oil_filter,oil_s,brandc,box,7.36,11.04,1.04,false,2023-12-16 00:00:00
16,sku-ef-00016,engine filter l - brandd series-1,engine_filter,engine_l,brandd,ea,13.74,16.49,0.91,false,2023-09-14 00:00:00
17,sku-cf-00017,cabin filter xl - brandg max,cabin_filter,cabin_xl,brandg,ea,10.08,15.12,0.37,false,2024-02-25 00:00:00
18,sku-af-00018,air filter m - brandb series-2,air_filter,air_m,brandb,ea,8.33,11.25,0.59,false,2023-07-20 00:00:00
19,sku-tf-00019,transmission filter l - brandf series-3,transmission_filter,transmission_l,brandf,ea,17.32,23.38,1.03,false,2022-09-21 00:00:00
20,sku-of-00020,oil filter s - branda series-3,oil_filter,oil_s,branda,ea,9.84,21.65,0.62,false,2025-04-18 00:00:00
21,sku-cf-00021,cabin filter l - brandg pro,cabin_filter,cabin_l,brandg,ea,11.02,14.88,0.27,true,2023-05-21 00:00:00
22,sku-cf-00022,cabin filter m - brandc series-1,cabin_filter,cabin_m,brandc,ea,12.26,16.55,0.38,false,2025-04-05 00:00:00
23,sku-cf-00023,cabin filter s - brandh series-2,cabin_filter,cabin_s,brandh,ea,8.8,10.56,0.73,false,2022-02-14 00:00:00
24,sku-of-00024,oil filter s - branda series-3,oil_filter,oil_s,branda,ea,11.73,17.59,0.69,false,2023-07-19 00:00:00
25,sku-af-00025,air filter m - branda pro,air_filter,air_m,branda,box,7.68,10.37,0.7,false,2022-01-22 00:00:00
26,sku-tf-00026,transmission filter s - brandb max,transmission_filter,transmission_s,brandb,ea,15.64,18.77,1.44,false,2022-11-25 00:00:00
28,sku-ef-00028,engine filter l - branda pro,engine_filter,engine_l,branda,box,19.39,42.66,1.54,false,2023-05-30 00:00:00
29,sku-af-00029,air filter m - brandg series-1,air_filter,air_m,brandg,box,7.15,12.87,0.89,false,2022-03-20 00:00:00
30,sku-cf-00030,cabin filter s - brandh series-1,cabin_filter,cabin_s,brandh,ea,6.61,9.92,0.53,false,2025-02-19 00:00:00
31,sku-cf-00031,cabin filter xl - brandf series-3,cabin_filter,cabin_xl,brandf,ea,14.71,17.65,0.36,false,2024-04-03 00:00:00
32,sku-ef-00032,engine filter l - brandh max,engine_filter,engine_l,brandh,box,13.45,16.14,1.73,false,2025-08-23 00:00:00
33,sku-ef-00033,engine filter m - branda series-1,engine_filter,engine_m,branda,ea,15.55,20.99,1.89,false,2023-12-07 00:00:00
34,sku-tf-00034,transmission filter xl - brandd series-2,transmission_filter,transmission_xl,brandd,ea,18.81,28.21,2.72,false,2024-12-03 00:00:00
35,sku-ff-00035,fuel filter s - brandg pro,fuel_filter,fuel_s,brandg,ea,14.31,21.46,1.8,false,2023-07-11 00:00:00
36,sku-ef-00036,engine filter l - branda series-1,engine_filter,engine_l,branda,ea,8.01,12.02,1.21,false,2023-01-18 00:00:00
37,sku-of-00037,oil filter xl - brande series-3,oil_filter,oil_xl,brande,ea,7.77,11.65,1.15,false,2023-04-22 00:00:00
38,sku-af-00038,air filter s - brandb pro,air_filter,air_s,brandb,ea,9.33,14.0,0.73,false,2022-09-22 00:00:00
39,sku-of-00039,oil filter xl - brandf pro,oil_filter,oil_xl,brandf,ea,8.48,11.45,0.34,false,2022-07-20 00:00:00
40,sku-ff-00040,fuel filter xl - brandd pro,fuel_filter,fuel_xl,brandd,ea,5.25,7.09,0.76,false,2023-04-08 00:00:00
41,sku-ef-00041,engine filter s - brandb max,engine_filter,engine_s,brandb,ea,11.47,25.23,0.51,false,2024-10-17 00:00:00
42,sku-of-00042,oil filter xl - brandc series-2,oil_filter,oil_xl,brandc,ea,9.87,13.32,0.68,false,2024-07-19 00:00:00
43,sku-cf-00043,cabin filter s - brandd series-2,cabin_filter,cabin_s,brandd,ea,7.08,9.56,0.86,false,2025-11-03 00:00:00
44,sku-ff-00044,fuel filter m - brande pro,fuel_filter,fuel_m,brande,ea,14.15,21.23,0.42,false,2024-12-31 00:00:00
45,sku-of-00045,oil filter l - brandd series-2,oil_filter,oil_l,brandd,ea,9.51,12.84,1.17,false,2022-11-03 00:00:00
46,sku-ef-00046,engine filter s - brandh series-2,engine_filter,engine_s,brandh,ea,16.12,29.02,0.68,false,2023-10-18 00:00:00
47,sku-ff-00047,fuel filter s - brandg max,fuel_filter,fuel_s,brandg,ea,14.49,19.56,1.13,true,2025-09-07 00:00:00
48,sku-cf-00048,cabin filter xl - brandf series-3,cabin_filter,cabin_xl,brandf,box,15.74,10.79,1.14,false,2023-11-14 00:00:00
49,sku-ff-00049,fuel filter l - brandc max,fuel_filter,fuel_l,brandc,ea,13.42,18.12,1.3,false,2023-04-27 00:00:00
51,sku-of-00051,oil filter l - brandb max,oil_filter,oil_l,brandb,ea,6.9,8.28,0.21,false,2022-03-23 00:00:00
52,sku-ff-00052,fuel filter xl - brande series-1,fuel_filter,fuel_xl,brande,ea,14.15,16.98,1.08,false,2022-07-12 00:00:00
53,sku-of-00053,oil filter s - brande series-1,oil_filter,oil_s,brande,ea,9.25,11.1,0.96,false,2024-04-02 00:00:00
54,sku-of-00054,oil filter xl - brandh series-1,oil_filter,oil_xl,brandh,box,3.55,5.32,0.5,false,2025-05-11 00:00:00
55,sku-ef-00055,engine filter m - brandc pro,engine_filter,engine_m,brandc,ea,19.22,28.83,1.7,false,2024-08-29 00:00:00
56,sku-ef-00056,engine filter l - branda max,engine_filter,engine_l,branda,ea,13.36,20.04,0.79,false,2023-11-27 00:00:00
57,sku-ff-00057,fuel filter xl - brandb max,fuel_filter,fuel_xl,brandb,ea,12.91,17.43,0.85,false,2022-07-18 00:00:00
58,sku-of-00058,oil filter m - branda series-1,oil_filter,oil_m,branda,ea,5.55,8.32,1.06,false,2023-04-14 00:00:00
59,sku-cf-00059,cabin filter m - brandb max,cabin_filter,cabin_m,brandb,ea,5.66,6.79,0.88,false,2024-05-22 00:00:00
60,sku-of-00060,oil filter s - brande series-1,oil_filter,oil_s,brande,box,12.2,16.47,1.01,false,2024-02-28 00:00:00
61,sku-of-00061,oil filter m - branda series-2,oil_filter,oil_m,branda,box,8.46,11.42,0.38,false,2023-01-12 00:00:00
62,sku-of-00062,oil filter l - brandd series-1,oil_filter,oil_l,brandd,box,7.45,16.39,0.29,false,2025-03-06 00:00:00
63,sku-cf-00063,cabin filter xl - brandg pro,cabin_filter,cabin_xl,brandg,ea,10.1,12.12,0.83,false,2023-05-18 00:00:00
64,sku-cf-00064,cabin filter s - brandb series-3,cabin_filter,cabin_s,brandb,ea,11.87,16.02,0.44,false,2022-07-23 00:00:00
65,sku-af-00065,air filter xl - brandd pro,air_filter,air_xl,brandd,ea,8.55,12.83,1.06,false,2024-10-07 00:00:00
66,sku-ef-00066,engine filter xl - brandb series-1,engine_filter,engine_xl,brandb,ea,16.76,25.14,0.62,false,2022-01-28 00:00:00
67,sku-cf-00067,cabin filter s - brandb series-2,cabin_filter,cabin_s,brandb,box,9.13,12.33,1.15,false,2022-01-01 00:00:00
68,sku-tf-00068,transmission filter l - brandf pro,transmission_filter,transmission_l,brandf,ea,17.22,23.25,1.47,false,2025-03-28 00:00:00
69,sku-af-00069,air filter s - brandb series-2,air_filter,air_s,brandb,ea,7.83,9.4,0.41,false,2024-08-02 00:00:00
70,sku-ef-00070,engine filter s - brandc series-2,engine_filter,engine_s,brandc,ea,12.18,14.62,0.45,false,2023-01-14 00:00:00
71,sku-cf-00071,cabin filter m - branda series-2,cabin_filter,cabin_m,branda,ea,13.05,15.66,0.7,false,2024-05-12 00:00:00
